Position_um,Timestamp
17388.52261306533,2025-12-11 15:09:16.730695
17390.532663316582,2025-12-11 15:09:21.041152
17392.54271356784,2025-12-11 15:09:25.350316
17394.552763819094,2025-12-11 15:09:29.677311
17396.562814070352,2025-12-11 15:09:33.982655
17398.57286432161,2025-12-11 15:09:38.301858
17400.582914572864,2025-12-11 15:09:42.630426
17402.59296482412,2025-12-11 15:09:46.949284
17404.603015075376,2025-12-11 15:09:51.268760
17406.613065326634,2025-12-11 15:09:55.579958
17408.623115577888,2025-12-11 15:09:59.883705
17410.633165829146,2025-12-11 15:10:04.198412
17412.643216080403,2025-12-11 15:10:08.516527
17414.653266331658,2025-12-11 15:10:12.829068
17416.663316582915,2025-12-11 15:10:17.153668
17418.67336683417,2025-12-11 15:10:21.467817
17420.683417085427,2025-12-11 15:10:25.784197
17422.693467336685,2025-12-11 15:10:30.104666
17424.70351758794,2025-12-11 15:10:34.411770
17426.713567839197,2025-12-11 15:10:38.738604
17428.72361809045,2025-12-11 15:10:43.072789
17430.73366834171,2025-12-11 15:10:47.380044
17432.743718592967,2025-12-11 15:10:51.704750
17434.75376884422,2025-12-11 15:10:56.029075
17436.76381909548,2025-12-11 15:11:00.347612
17438.773869346733,2025-12-11 15:11:04.663811
17440.78391959799,2025-12-11 15:11:08.980219
17442.793969849245,2025-12-11 15:11:13.305074
17444.804020100502,2025-12-11 15:11:17.625062
17446.81407035176,2025-12-11 15:11:21.944484
17448.824120603014,2025-12-11 15:11:26.283202
17450.834170854272,2025-12-11 15:11:30.610632
17452.844221105526,2025-12-11 15:11:34.928015
17454.854271356784,2025-12-11 15:11:39.244363
17456.86432160804,2025-12-11 15:11:43.563231
17458.874371859296,2025-12-11 15:11:47.882235
17460.884422110554,2025-12-11 15:11:52.201837
17462.894472361808,2025-12-11 15:11:56.521006
17464.904522613066,2025-12-11 15:12:00.848727
17466.91457286432,2025-12-11 15:12:05.179754
17468.924623115578,2025-12-11 15:12:09.508864
17470.934673366835,2025-12-11 15:12:13.824438
17472.94472361809,2025-12-11 15:12:18.146389
17474.954773869347,2025-12-11 15:12:22.467592
17476.9648241206,2025-12-11 15:12:26.777756
17478.97487437186,2025-12-11 15:12:31.091533
17480.984924623117,2025-12-11 15:12:35.416627
17482.99497487437,2025-12-11 15:12:39.744896
17485.00502512563,2025-12-11 15:12:44.057145
17487.015075376883,2025-12-11 15:12:48.370060
17489.02512562814,2025-12-11 15:12:52.695379
17491.0351758794,2025-12-11 15:12:57.013363
17493.045226130653,2025-12-11 15:13:01.340029
17495.05527638191,2025-12-11 15:13:05.657751
17497.065326633165,2025-12-11 15:13:09.966959
17499.075376884422,2025-12-11 15:13:14.276952
17501.085427135677,2025-12-11 15:13:18.584995
17503.095477386934,2025-12-11 15:13:22.901368
17505.105527638192,2025-12-11 15:13:27.213250
17507.115577889446,2025-12-11 15:13:31.516006
17509.125628140704,2025-12-11 15:13:35.823309
17511.13567839196,2025-12-11 15:13:40.141178
17513.145728643216,2025-12-11 15:13:44.452972
17515.155778894474,2025-12-11 15:13:48.765391
17517.165829145728,2025-12-11 15:13:53.079021
17519.175879396986,2025-12-11 15:13:57.398733
17521.18592964824,2025-12-11 15:14:01.705439
17523.195979899498,2025-12-11 15:14:06.030693
17525.206030150755,2025-12-11 15:14:10.343808
17527.21608040201,2025-12-11 15:14:14.660396
17529.226130653267,2025-12-11 15:14:18.977164
17531.23618090452,2025-12-11 15:14:23.287699
17533.24623115578,2025-12-11 15:14:27.592074
17535.256281407033,2025-12-11 15:14:31.918500
17537.26633165829,2025-12-11 15:14:36.240283
17539.27638190955,2025-12-11 15:14:40.557813
17541.286432160803,2025-12-11 15:14:44.860294
17543.29648241206,2025-12-11 15:14:49.173921
17545.306532663315,2025-12-11 15:14:53.475062
17547.316582914573,2025-12-11 15:14:57.778441
17549.32663316583,2025-12-11 15:15:02.094595
17551.336683417085,2025-12-11 15:15:06.408842
17553.346733668342,2025-12-11 15:15:10.730696
17555.356783919597,2025-12-11 15:15:15.039817
17557.366834170854,2025-12-11 15:15:19.356837
17559.376884422112,2025-12-11 15:15:23.678571
17561.386934673366,2025-12-11 15:15:27.991111
17563.396984924624,2025-12-11 15:15:32.317541
17565.40703517588,2025-12-11 15:15:36.652956
17567.417085427136,2025-12-11 15:15:40.960111
17569.42713567839,2025-12-11 15:15:45.279415
17571.437185929648,2025-12-11 15:15:49.609151
17573.447236180906,2025-12-11 15:15:53.906403
17575.45728643216,2025-12-11 15:15:58.216906
17577.467336683418,2025-12-11 15:16:02.530338
17579.47738693467,2025-12-11 15:16:06.819809
17581.48743718593,2025-12-11 15:16:11.159380
17583.497487437187,2025-12-11 15:16:15.472786
17585.50753768844,2025-12-11 15:16:19.779371
17587.5175879397,2025-12-11 15:16:24.087361
17589.527638190953,2025-12-11 15:16:28.398176
17591.53768844221,2025-12-11 15:16:32.730723
17593.54773869347,2025-12-11 15:16:37.036576
17595.557788944723,2025-12-11 15:16:41.358204
17597.56783919598,2025-12-11 15:16:45.671651
17599.577889447235,2025-12-11 15:16:49.978187
17601.587939698493,2025-12-11 15:16:54.289229
17603.597989949747,2025-12-11 15:16:58.604622
17605.608040201005,2025-12-11 15:17:02.924360
17607.618090452263,2025-12-11 15:17:07.228067
17609.628140703517,2025-12-11 15:17:11.555121
17611.638190954774,2025-12-11 15:17:15.871620
17613.64824120603,2025-12-11 15:17:20.185738
17615.658291457286,2025-12-11 15:17:24.502790
17617.668341708544,2025-12-11 15:17:28.814891
17619.6783919598,2025-12-11 15:17:33.129913
17621.688442211056,2025-12-11 15:17:37.444160
17623.69849246231,2025-12-11 15:17:41.761911
17625.708542713568,2025-12-11 15:17:46.074130
17627.718592964826,2025-12-11 15:17:50.398587
17629.72864321608,2025-12-11 15:17:54.718100
17631.738693467338,2025-12-11 15:17:59.047175
17633.748743718592,2025-12-11 15:18:03.368202
17635.75879396985,2025-12-11 15:18:07.689398
17637.768844221104,2025-12-11 15:18:12.008895
17639.77889447236,2025-12-11 15:18:16.332486
17641.78894472362,2025-12-11 15:18:20.646142
17643.798994974873,2025-12-11 15:18:24.978134
17645.80904522613,2025-12-11 15:18:29.307839
17647.819095477385,2025-12-11 15:18:33.614517
